hole,(latFront,longFront),(latMiddle,longMiddle),(latBack,longBack)
1,(47.536681,-122.152772),(47.536788,-122.152854),(47.536892,-122.152915)
2,((47.536414,-122.149651),(47.536245,-122.149687)),(47.536322,-122.149555),(47.536310,-122.149474)
3,(47.537929,-122.154376),(47.537978,-122.154564),(47.538005,-122.154698)
4,(47.539195,-122.154456),(47.539318,-122.154367),(47.539450,-122.154188)
5,(47.539513,-122.147792),(47.539552,-122.147582),(47.539648,-122.147444)
6,(47.539084,-122.153226),(47.539127,-122.153410),(47.539163,-122.153567)
7,(47.538662,-122.148946),(47.538672,-122.148747),(47.538619,-122.148599)
8,(47.537533,-122.150425),(47.537581,-122.150570),(47.537578,-122.150681)
9,(47.535864,-122.145582),(47.535819,-122.145372),(47.535798,-122.145171)
10,(47.536725,-122.140699),(47.536777,-122.140404),(47.536808,-122.140117)
11,(47.535858,-122.134313),(47.535833,-122.134098),(47.535803,-122.133954)
12,(47.536661,-122.134567),(47.536752,-122.134659),(47.536862,-122.134747)
13,(47.537779,-122.139959),(47.537843,-122.140213),(47.537952,-122.140385)
14,(47.538411,-122.147218),(47.538417,-122.147390),(47.538442,-122.147558)
15,(47.537463,-122.141736),(47.537466,-122.141483),(47.537480,-122.141275)
16,(47.536998,-122.142100),(47.537039,-122.142257),(47.537058,-122.142393)
17,(47.537588,-122.148658),(47.537568,-122.148882),(47.537533,-122.149119)
18,(47.536414,-122.145328),(47.536368,-122.145109),(47.536325,-122.144917)
